ride_id,user_type,start_time,end_time,duration_min,start_station,end_station,vehicle_type,city,day_of_week,hour_of_day
R0031,subscriber,2025-04-18 08:46,2025-04-18 09:02,16,Zhan21,Zhan22,DianpingcheC,Shanghai,Friday,8
R0032,casual,2025-04-20 04:22,2025-04-20 04:30,8,Zhan10,Zhan09,DianpingcheB,Shanghai,Sunday,4
R0033,subscriber,2025-04-17 09:13,2025-04-17 09:18,5,Zhan08,Zhan15,DianpingcheB,Shanghai,Thursday,9
R0034,casual,2025-04-20 16:07,2025-04-20 16:39,32,Zhan04,Zhan21,DianpingcheB,Shanghai,Sunday,16
R0035,subscriber,2025-04-17 05:48,2025-04-17 05:54,6,Zhan04,Zhan09,DianpingcheA,Shanghai,Thursday,5
R0036,subscriber,2025-04-18 12:24,2025-04-18 12:50,26,Zhan18,Zhan01,DianpingcheB,Shanghai,Friday,12
R0037,subscriber,2025-04-18 09:01,2025-04-18 09:30,29,Zhan19,Zhan01,DianpingcheB,Shanghai,Friday,9
R0038,subscriber,2025-04-15 12:49,2025-04-15 12:57,8,Zhan21,Zhan11,DianpingcheB,Shanghai,Tuesday,12
R0039,casual,2025-04-19 19:46,2025-04-19 20:13,27,Zhan03,Zhan06,DianpingcheC,Shanghai,Saturday,19
R0040,subscriber,2025-04-16 18:36,2025-04-16 19:09,33,Zhan10,Zhan21,DianpingcheA,Shanghai,Wednesday,18
R0041,subscriber,2025-04-16 22:05,2025-04-16 22:50,45,Zhan02,Zhan07,DianpingcheA,Shanghai,Wednesday,22
R0042,subscriber,2025-04-16 23:02,2025-04-16 23:36,34,Zhan06,Zhan21,DianpingcheB,Shanghai,Wednesday,23
R0043,subscriber,2025-04-16 18:48,2025-04-16 19:22,34,Zhan19,Zhan11,DianpingcheC,Shanghai,Wednesday,18
R0044,subscriber,2025-04-14 08:08,2025-04-14 08:31,23,Zhan19,Zhan06,DianpingcheC,Shanghai,Monday,8
R0045,casual,2025-04-16 03:52,2025-04-16 04:37,45,Zhan05,Zhan13,DianpingcheA,Shanghai,Wednesday,3
R0046,subscriber,2025-04-20 08:01,2025-04-20 08:46,45,Zhan09,Zhan22,DianpingcheC,Shanghai,Sunday,8
R0047,casual,2025-04-17 12:06,2025-04-17 12:46,40,Zhan09,Zhan19,DianpingcheB,Shanghai,Thursday,12
R0048,casual,2025-04-14 09:46,2025-04-14 09:58,12,Zhan24,Zhan02,DianpingcheA,Shanghai,Monday,9
R0049,casual,2025-04-20 01:14,2025-04-20 01:43,29,Zhan25,Zhan13,DianpingcheB,Shanghai,Sunday,1
R0050,casual,2025-04-19 18:35,2025-04-19 18:47,12,Zhan01,Zhan11,DianpingcheC,Shanghai,Saturday,18
R0051,subscriber,2025-04-18 18:03,2025-04-18 18:15,12,Zhan17,Zhan06,DianpingcheB,Shanghai,Friday,18
R0052,casual,2025-04-20 08:46,2025-04-20 08:54,8,Zhan12,Zhan05,DianpingcheC,Shanghai,Sunday,8
R0053,subscriber,2025-04-18 17:41,2025-04-18 17:51,10,Zhan07,Zhan10,DianpingcheC,Shanghai,Friday,17
R0054,subscriber,2025-04-16 08:01,2025-04-16 08:28,27,Zhan11,Zhan13,DianpingcheA,Shanghai,Wednesday,8
R0055,subscriber,2025-04-17 08:36,2025-04-17 09:05,29,Zhan16,Zhan21,DianpingcheB,Shanghai,Thursday,8
R0056,casual,2025-04-17 17:47,2025-04-17 18:02,15,Zhan01,Zhan07,DianpingcheB,Shanghai,Thursday,17
R0057,casual,2025-04-19 17:36,2025-04-19 18:02,26,Zhan20,Zhan15,DianpingcheA,Shanghai,Saturday,17
R0058,casual,2025-04-16 08:24,2025-04-16 09:00,36,Zhan13,Zhan25,DianpingcheB,Shanghai,Wednesday,8
R0059,casual,2025-04-15 06:05,2025-04-15 06:34,29,Zhan11,Zhan18,DianpingcheB,Shanghai,Tuesday,6
R0060,casual,2025-04-17 10:18,2025-04-17 10:39,21,Zhan07,Zhan13,DianpingcheC,Shanghai,Thursday,10
R0061,casual,2025-04-18 08:04,2025-04-18 08:11,7,Zhan05,Zhan14,DianpingcheC,Shanghai,Friday,8
R0062,casual,2025-04-19 22:38,2025-04-19 23:21,43,Zhan15,Zhan06,DianpingcheA,Shanghai,Saturday,22
R0063,casual,2025-04-17 19:09,2025-04-17 19:16,7,Zhan06,Zhan22,DianpingcheA,Shanghai,Thursday,19
R0064,casual,2025-04-17 08:32,2025-04-17 08:55,23,Zhan01,Zhan13,DianpingcheA,Shanghai,Thursday,8
R0065,subscriber,2025-04-15 13:58,2025-04-15 14:39,41,Zhan15,Zhan17,DianpingcheA,Shanghai,Tuesday,13
R0066,casual,2025-04-14 08:57,2025-04-14 09:14,17,Zhan24,Zhan14,DianpingcheC,Shanghai,Monday,8
R0067,subscriber,2025-04-14 14:06,2025-04-14 14:45,39,Zhan23,Zhan09,DianpingcheA,Shanghai,Monday,14
R0068,subscriber,2025-04-20 08:30,2025-04-20 08:58,28,Zhan08,Zhan22,DianpingcheA,Shanghai,Sunday,8
R0069,subscriber,2025-04-15 17:31,2025-04-15 17:48,17,Zhan21,Zhan11,DianpingcheC,Shanghai,Tuesday,17
R0070,subscriber,2025-04-18 00:56,2025-04-18 01:34,38,Zhan08,Zhan01,DianpingcheB,Shanghai,Friday,0
R0071,subscriber,2025-04-18 08:19,2025-04-18 08:25,6,Zhan16,Zhan18,DianpingcheC,Shanghai,Friday,8
R0072,casual,2025-04-15 08:05,2025-04-15 08:34,29,Zhan20,Zhan19,DianpingcheA,Shanghai,Tuesday,8
R0073,subscriber,2025-04-20 02:52,2025-04-20 03:13,21,Zhan12,Zhan16,DianpingcheA,Shanghai,Sunday,2
R0074,casual,2025-04-20 19:26,2025-04-20 20:02,36,Zhan17,Zhan02,DianpingcheA,Shanghai,Sunday,19
R0075,subscriber,2025-04-14 21:34,2025-04-14 22:09,35,Zhan10,Zhan22,DianpingcheC,Shanghai,Monday,21
R0076,casual,2025-04-19 02:58,2025-04-19 03:33,35,Zhan15,Zhan22,DianpingcheC,Shanghai,Saturday,2
R0077,subscriber,2025-04-18 19:09,2025-04-18 19:49,40,Zhan12,Zhan03,DianpingcheA,Shanghai,Friday,19
R0078,subscriber,2025-04-19 19:05,2025-04-19 19:47,42,Zhan03,Zhan05,DianpingcheB,Shanghai,Saturday,19
R0079,casual,2025-04-17 13:23,2025-04-17 13:32,9,Zhan01,Zhan23,DianpingcheC,Shanghai,Thursday,13
R0080,casual,2025-04-16 17:35,2025-04-16 18:04,29,Zhan13,Zhan04,DianpingcheB,Shanghai,Wednesday,17
R0081,subscriber,2025-04-19 08:44,2025-04-19 09:06,22,Zhan14,Zhan09,DianpingcheB,Shanghai,Saturday,8
R0082,subscriber,2025-04-18 18:25,2025-04-18 18:55,30,Zhan07,Zhan03,DianpingcheC,Shanghai,Friday,18
R0083,casual,2025-04-15 08:24,2025-04-15 09:05,41,Zhan23,Zhan22,DianpingcheA,Shanghai,Tuesday,8
R0084,casual,2025-04-17 17:48,2025-04-17 17:59,11,Zhan17,Zhan15,DianpingcheA,Shanghai,Thursday,17
R0085,casual,2025-04-16 08:10,2025-04-16 08:40,30,Zhan18,Zhan21,DianpingcheA,Shanghai,Wednesday,8
R0086,subscriber,2025-04-15 18:13,2025-04-15 18:46,33,Zhan22,Zhan23,DianpingcheA,Shanghai,Tuesday,18
R0087,casual,2025-04-15 17:02,2025-04-15 17:15,13,Zhan08,Zhan23,DianpingcheB,Shanghai,Tuesday,17
R0088,subscriber,2025-04-15 19:54,2025-04-15 20:18,24,Zhan21,Zhan01,DianpingcheC,Shanghai,Tuesday,19
R0089,subscriber,2025-04-17 08:24,2025-04-17 08:33,9,Zhan23,Zhan15,DianpingcheB,Shanghai,Thursday,8
R0090,subscriber,2025-04-18 16:12,2025-04-18 16:34,22,Zhan10,Zhan11,DianpingcheB,Shanghai,Friday,16
R0091,casual,2025-04-18 08:13,2025-04-18 08:24,11,Zhan25,Zhan02,DianpingcheB,Shanghai,Friday,8
R0092,subscriber,2025-04-14 12:05,2025-04-14 12:45,40,Zhan05,Zhan17,DianpingcheB,Shanghai,Monday,12
R0093,subscriber,2025-04-16 12:21,2025-04-16 13:03,42,Zhan13,Zhan19,DianpingcheA,Shanghai,Wednesday,12
R0094,subscriber,2025-04-19 20:25,2025-04-19 20:55,30,Zhan13,Zhan20,DianpingcheA,Shanghai,Saturday,20
R0095,casual,2025-04-16 09:24,2025-04-16 10:08,44,Zhan07,Zhan02,DianpingcheA,Shanghai,Wednesday,9
R0096,casual,2025-04-19 21:33,2025-04-19 21:59,26,Zhan24,Zhan16,DianpingcheC,Shanghai,Saturday,21
R0097,subscriber,2025-04-19 13:47,2025-04-19 14:03,16,Zhan24,Zhan08,DianpingcheC,Shanghai,Saturday,13
R0098,subscriber,2025-04-16 18:39,2025-04-16 18:57,18,Zhan22,Zhan02,DianpingcheB,Shanghai,Wednesday,18
R0099,subscriber,2025-04-18 14:42,2025-04-18 15:22,40,Zhan06,Zhan10,DianpingcheA,Shanghai,Friday,14
R0100,subscriber,2025-04-20 09:16,2025-04-20 09:43,27,Zhan15,Zhan12,DianpingcheA,Shanghai,Sunday,9
R0101,subscriber,2025-04-16 07:04,2025-04-16 07:22,18,Zhan07,Zhan05,DianpingcheB,Shanghai,Wednesday,7
R0102,subscriber,2025-04-15 23:13,2025-04-15 23:39,26,Zhan20,Zhan21,DianpingcheA,Shanghai,Tuesday,23
R0103,subscriber,2025-04-17 09:24,2025-04-17 10:01,37,Zhan09,Zhan21,DianpingcheA,Shanghai,Thursday,9
R0104,casual,2025-04-19 08:19,2025-04-19 09:03,44,Zhan19,Zhan08,DianpingcheC,Shanghai,Saturday,8
R0105,casual,2025-04-14 10:24,2025-04-14 11:07,43,Zhan20,Zhan18,DianpingcheC,Shanghai,Monday,10
R0106,subscriber,2025-04-17 08:52,2025-04-17 09:20,28,Zhan22,Zhan07,DianpingcheB,Shanghai,Thursday,8
R0107,subscriber,2025-04-16 18:31,2025-04-16 18:58,27,Zhan05,Zhan11,DianpingcheC,Shanghai,Wednesday,18
R0108,subscriber,2025-04-16 12:01,2025-04-16 12:06,5,Zhan25,Zhan06,DianpingcheB,Shanghai,Wednesday,12
R0109,subscriber,2025-04-17 17:12,2025-04-17 17:29,17,Zhan20,Zhan23,DianpingcheA,Shanghai,Thursday,17
R0110,subscriber,2025-04-16 17:33,2025-04-16 17:38,5,Zhan25,Zhan12,DianpingcheC,Shanghai,Wednesday,17
R0111,casual,2025-04-14 04:56,2025-04-14 05:33,37,Zhan04,Zhan07,DianpingcheC,Shanghai,Monday,4
R0112,subscriber,2025-04-14 19:47,2025-04-14 20:16,29,Zhan24,Zhan12,DianpingcheC,Shanghai,Monday,19
R0113,casual,2025-04-19 00:56,2025-04-19 01:38,42,Zhan03,Zhan04,DianpingcheC,Shanghai,Saturday,0
R0114,casual,2025-04-14 18:08,2025-04-14 18:36,28,Zhan02,Zhan04,DianpingcheC,Shanghai,Monday,18
R0115,casual,2025-04-14 18:02,2025-04-14 18:35,33,Zhan17,Zhan16,DianpingcheB,Shanghai,Monday,18
R0116,casual,2025-04-20 14:13,2025-04-20 14:30,17,Zhan21,Zhan12,DianpingcheB,Shanghai,Sunday,14
R0117,casual,2025-04-19 19:23,2025-04-19 19:36,13,Zhan08,Zhan17,DianpingcheC,Shanghai,Saturday,19
R0118,subscriber,2025-04-16 17:50,2025-04-16 18:07,17,Zhan05,Zhan09,DianpingcheA,Shanghai,Wednesday,17
R0119,casual,2025-04-14 15:15,2025-04-14 15:39,24,Zhan08,Zhan12,DianpingcheA,Shanghai,Monday,15
R0120,casual,2025-04-15 08:58,2025-04-15 09:15,17,Zhan07,Zhan18,DianpingcheA,Shanghai,Tuesday,8
R0121,casual,2025-04-19 22:10,2025-04-19 22:40,30,Zhan04,Zhan13,DianpingcheA,Shanghai,Saturday,22
R0122,casual,2025-04-14 04:22,2025-04-14 04:42,20,Zhan20,Zhan09,DianpingcheC,Shanghai,Monday,4
R0123,subscriber,2025-04-17 11:05,2025-04-17 11:10,5,Zhan18,Zhan12,DianpingcheC,Shanghai,Thursday,11
R0124,subscriber,2025-04-14 17:37,2025-04-14 18:17,40,Zhan13,Zhan23,DianpingcheC,Shanghai,Monday,17
R0125,subscriber,2025-04-19 20:06,2025-04-19 20:36,30,Zhan18,Zhan02,DianpingcheA,Shanghai,Saturday,20
R0126,casual,2025-04-20 06:32,2025-04-20 06:38,6,Zhan15,Zhan05,DianpingcheB,Shanghai,Sunday,6
R0127,subscriber,2025-04-18 21:05,2025-04-18 21:48,43,Zhan19,Zhan15,DianpingcheB,Shanghai,Friday,21
R0128,subscriber,2025-04-15 08:28,2025-04-15 08:39,11,Zhan11,Zhan22,DianpingcheC,Shanghai,Tuesday,8
R0129,casual,2025-04-16 08:23,2025-04-16 08:47,24,Zhan15,Zhan06,DianpingcheB,Shanghai,Wednesday,8
R0130,subscriber,2025-04-14 09:47,2025-04-14 10:18,31,Zhan05,Zhan17,DianpingcheC,Shanghai,Monday,9
R0131,casual,2025-04-20 04:31,2025-04-20 04:42,11,Zhan23,Zhan08,DianpingcheA,Shanghai,Sunday,4
R0132,casual,2025-04-14 17:22,2025-04-14 17:56,34,Zhan13,Zhan17,DianpingcheA,Shanghai,Monday,17
R0133,subscriber,2025-04-20 00:20,2025-04-20 00:38,18,Zhan13,Zhan24,DianpingcheC,Shanghai,Sunday,0
R0134,subscriber,2025-04-20 19:12,2025-04-20 19:42,30,Zhan20,Zhan12,DianpingcheB,Shanghai,Sunday,19
R0135,casual,2025-04-16 18:36,2025-04-16 19:12,36,Zhan20,Zhan15,DianpingcheB,Shanghai,Wednesday,18
R0136,subscriber,2025-04-18 17:30,2025-04-18 17:41,11,Zhan17,Zhan25,DianpingcheB,Shanghai,Friday,17
R0137,subscriber,2025-04-16 19:04,2025-04-16 19:25,21,Zhan23,Zhan12,DianpingcheC,Shanghai,Wednesday,19
R0138,casual,2025-04-19 08:04,2025-04-19 08:15,11,Zhan09,Zhan14,DianpingcheA,Shanghai,Saturday,8
R0139,casual,2025-04-18 08:56,2025-04-18 09:09,13,Zhan11,Zhan16,DianpingcheC,Shanghai,Friday,8
R0140,casual,2025-04-16 16:21,2025-04-16 16:36,15,Zhan08,Zhan01,DianpingcheA,Shanghai,Wednesday,16
R0141,casual,2025-04-19 17:23,2025-04-19 18:02,39,Zhan06,Zhan01,DianpingcheC,Shanghai,Saturday,17
R0142,subscriber,2025-04-16 18:10,2025-04-16 18:37,27,Zhan03,Zhan23,DianpingcheA,Shanghai,Wednesday,18
R0143,casual,2025-04-20 13:48,2025-04-20 14:04,16,Zhan17,Zhan19,DianpingcheB,Shanghai,Sunday,13
R0144,casual,2025-04-18 20:47,2025-04-18 21:11,24,Zhan09,Zhan13,DianpingcheC,Shanghai,Friday,20
R0145,casual,2025-04-20 16:46,2025-04-20 16:52,6,Zhan09,Zhan20,DianpingcheC,Shanghai,Sunday,16
R0146,casual,2025-04-15 18:25,2025-04-15 19:08,43,Zhan23,Zhan14,DianpingcheC,Shanghai,Tuesday,18
R0147,subscriber,2025-04-19 14:05,2025-04-19 14:41,36,Zhan11,Zhan12,DianpingcheC,Shanghai,Saturday,14
R0148,casual,2025-04-16 13:44,2025-04-16 14:16,32,Zhan01,Zhan23,DianpingcheB,Shanghai,Wednesday,13
R0149,subscriber,2025-04-20 17:36,2025-04-20 18:12,36,Zhan15,Zhan05,DianpingcheB,Shanghai,Sunday,17
R0150,subscriber,2025-04-15 19:03,2025-04-15 19:46,43,Zhan08,Zhan19,DianpingcheB,Shanghai,Tuesday,19
R0151,subscriber,2025-04-15 06:19,2025-04-15 06:59,40,Zhan19,Zhan23,DianpingcheA,Shanghai,Tuesday,6
R0152,subscriber,2025-04-15 19:15,2025-04-15 19:38,23,Zhan12,Zhan04,DianpingcheA,Shanghai,Tuesday,19
R0153,subscriber,2025-04-20 01:56,2025-04-20 02:35,39,Zhan15,Zhan04,DianpingcheA,Shanghai,Sunday,1
R0154,casual,2025-04-16 18:56,2025-04-16 19:31,35,Zhan01,Zhan25,DianpingcheC,Shanghai,Wednesday,18
R0155,subscriber,2025-04-18 20:52,2025-04-18 21:05,13,Zhan09,Zhan11,DianpingcheB,Shanghai,Friday,20
R0156,casual,2025-04-19 16:01,2025-04-19 16:12,11,Zhan17,Zhan15,DianpingcheC,Shanghai,Saturday,16
R0157,subscriber,2025-04-17 04:50,2025-04-17 05:18,28,Zhan13,Zhan24,DianpingcheB,Shanghai,Thursday,4
R0158,subscriber,2025-04-19 00:40,2025-04-19 01:15,35,Zhan10,Zhan02,DianpingcheC,Shanghai,Saturday,0
R0159,subscriber,2025-04-17 08:45,2025-04-17 08:51,6,Zhan22,Zhan06,DianpingcheA,Shanghai,Thursday,8
R0160,subscriber,2025-04-20 10:28,2025-04-20 11:06,38,Zhan09,Zhan16,DianpingcheC,Shanghai,Sunday,10
R0161,casual,2025-04-14 05:40,2025-04-14 06:25,45,Zhan01,Zhan17,DianpingcheA,Shanghai,Monday,5
R0162,subscriber,2025-04-16 08:27,2025-04-16 08:56,29,Zhan24,Zhan08,DianpingcheC,Shanghai,Wednesday,8
R0163,casual,2025-04-16 19:57,2025-04-16 20:04,7,Zhan25,Zhan02,DianpingcheB,Shanghai,Wednesday,19
R0164,casual,2025-04-18 17:49,2025-04-18 18:25,36,Zhan09,Zhan19,DianpingcheB,Shanghai,Friday,17
R0165,casual,2025-04-20 11:09,2025-04-20 11:33,24,Zhan08,Zhan25,DianpingcheB,Shanghai,Sunday,11
R0166,subscriber,2025-04-14 20:03,2025-04-14 20:40,37,Zhan02,Zhan21,DianpingcheA,Shanghai,Monday,20
R0167,casual,2025-04-16 19:45,2025-04-16 20:27,42,Zhan10,Zhan15,DianpingcheC,Shanghai,Wednesday,19
R0168,casual,2025-04-16 09:05,2025-04-16 09:17,12,Zhan15,Zhan03,DianpingcheA,Shanghai,Wednesday,9
R0169,subscriber,2025-04-14 18:34,2025-04-14 19:00,26,Zhan07,Zhan04,DianpingcheA,Shanghai,Monday,18
R0170,subscriber,2025-04-18 22:41,2025-04-18 22:54,13,Zhan16,Zhan24,DianpingcheB,Shanghai,Friday,22
R0171,subscriber,2025-04-14 09:06,2025-04-14 09:44,38,Zhan25,Zhan06,DianpingcheA,Shanghai,Monday,9
R0172,subscriber,2025-04-14 17:29,2025-04-14 18:00,31,Zhan22,Zhan11,DianpingcheA,Shanghai,Monday,17
R0173,subscriber,2025-04-18 13:48,2025-04-18 14:15,27,Zhan25,Zhan23,DianpingcheA,Shanghai,Friday,13
R0174,subscriber,2025-04-14 08:38,2025-04-14 09:22,44,Zhan24,Zhan22,DianpingcheB,Shanghai,Monday,8
R0175,subscriber,2025-04-16 08:37,2025-04-16 08:57,20,Zhan09,Zhan12,DianpingcheB,Shanghai,Wednesday,8
R0176,casual,2025-04-16 19:44,2025-04-16 19:50,6,Zhan06,Zhan09,DianpingcheA,Shanghai,Wednesday,19
R0177,casual,2025-04-20 14:46,2025-04-20 14:52,6,Zhan21,Zhan19,DianpingcheC,Shanghai,Sunday,14
R0178,casual,2025-04-20 18:17,2025-04-20 18:59,42,Zhan03,Zhan23,DianpingcheB,Shanghai,Sunday,18
R0179,casual,2025-04-20 01:03,2025-04-20 01:14,11,Zhan14,Zhan21,DianpingcheB,Shanghai,Sunday,1
R0180,casual,2025-04-17 18:10,2025-04-17 18:48,38,Zhan06,Zhan14,DianpingcheA,Shanghai,Thursday,18
R0181,casual,2025-04-17 19:40,2025-04-17 19:59,19,Zhan16,Zhan19,DianpingcheC,Shanghai,Thursday,19
R0182,subscriber,2025-04-19 19:48,2025-04-19 20:31,43,Zhan03,Zhan16,DianpingcheC,Shanghai,Saturday,19
R0183,subscriber,2025-04-16 17:54,2025-04-16 18:31,37,Zhan15,Zhan13,DianpingcheA,Shanghai,Wednesday,17
R0184,casual,2025-04-18 00:07,2025-04-18 00:40,33,Zhan20,Zhan25,DianpingcheC,Shanghai,Friday,0
R0185,subscriber,2025-04-20 19:02,2025-04-20 19:33,31,Zhan16,Zhan15,DianpingcheC,Shanghai,Sunday,19
R0186,casual,2025-04-14 08:41,2025-04-14 09:26,45,Zhan24,Zhan01,DianpingcheC,Shanghai,Monday,8
R0187,subscriber,2025-04-16 04:04,2025-04-16 04:22,18,Zhan14,Zhan11,DianpingcheB,Shanghai,Wednesday,4
R0188,subscriber,2025-04-16 17:19,2025-04-16 17:42,23,Zhan02,Zhan22,DianpingcheA,Shanghai,Wednesday,17
R0189,casual,2025-04-17 11:03,2025-04-17 11:21,18,Zhan14,Zhan09,DianpingcheB,Shanghai,Thursday,11
R0190,subscriber,2025-04-16 01:37,2025-04-16 02:21,44,Zhan23,Zhan19,DianpingcheA,Shanghai,Wednesday,1
R0191,subscriber,2025-04-18 19:51,2025-04-18 20:29,38,Zhan02,Zhan17,DianpingcheC,Shanghai,Friday,19
R0192,casual,2025-04-19 18:59,2025-04-19 19:43,44,Zhan11,Zhan22,DianpingcheA,Shanghai,Saturday,18
R0193,subscriber,2025-04-14 09:11,2025-04-14 09:17,6,Zhan08,Zhan25,DianpingcheC,Shanghai,Monday,9
R0194,subscriber,2025-04-20 09:42,2025-04-20 09:50,8,Zhan18,Zhan13,DianpingcheA,Shanghai,Sunday,9
R0195,casual,2025-04-14 09:10,2025-04-14 09:17,7,Zhan09,Zhan07,DianpingcheB,Shanghai,Monday,9
R0196,casual,2025-04-17 23:51,2025-04-18 00:26,35,Zhan10,Zhan13,DianpingcheB,Shanghai,Thursday,23
R0197,subscriber,2025-04-15 18:19,2025-04-15 18:38,19,Zhan17,Zhan14,DianpingcheA,Shanghai,Tuesday,18
R0198,subscriber,2025-04-14 18:14,2025-04-14 18:56,42,Zhan17,Zhan19,DianpingcheA,Shanghai,Monday,18
R0199,subscriber,2025-04-14 09:05,2025-04-14 09:27,22,Zhan09,Zhan06,DianpingcheC,Shanghai,Monday,9
R0200,subscriber,2025-04-20 09:27,2025-04-20 10:01,34,Zhan17,Zhan05,DianpingcheB,Shanghai,Sunday,9
R0201,subscriber,2025-04-15 04:55,2025-04-15 05:19,24,Zhan23,Zhan10,DianpingcheA,Shanghai,Tuesday,4
R0202,casual,2025-04-18 08:55,2025-04-18 09:07,12,Zhan24,Zhan02,DianpingcheC,Shanghai,Friday,8
R0203,subscriber,2025-04-18 08:18,2025-04-18 08:42,24,Zhan18,Zhan25,DianpingcheC,Shanghai,Friday,8
R0204,subscriber,2025-04-20 17:06,2025-04-20 17:45,39,Zhan16,Zhan23,DianpingcheA,Shanghai,Sunday,17
R0205,casual,2025-04-15 23:44,2025-04-15 23:50,6,Zhan25,Zhan08,DianpingcheC,Shanghai,Tuesday,23
R0206,casual,2025-04-16 12:12,2025-04-16 12:38,26,Zhan10,Zhan25,DianpingcheB,Shanghai,Wednesday,12
R0207,casual,2025-04-20 17:15,2025-04-20 17:48,33,Zhan22,Zhan20,DianpingcheC,Shanghai,Sunday,17
R0208,subscriber,2025-04-18 08:39,2025-04-18 08:46,7,Zhan09,Zhan21,DianpingcheB,Shanghai,Friday,8
R0209,casual,2025-04-14 11:48,2025-04-14 11:58,10,Zhan23,Zhan10,DianpingcheC,Shanghai,Monday,11
R0210,casual,2025-04-19 13:48,2025-04-19 14:04,16,Zhan11,Zhan13,DianpingcheC,Shanghai,Saturday,13
R0211,casual,2025-04-17 22:02,2025-04-17 22:16,14,Zhan14,Zhan05,DianpingcheC,Shanghai,Thursday,22
R0212,subscriber,2025-04-14 12:28,2025-04-14 12:39,11,Zhan23,Zhan22,DianpingcheB,Shanghai,Monday,12
R0213,casual,2025-04-16 17:03,2025-04-16 17:25,22,Zhan04,Zhan14,DianpingcheB,Shanghai,Wednesday,17
